plot_id,lat,long,surv_date,cover_type,height_cls
0099100101,45.35944,-72.895796,2012-11-12,Deciduous,17-22 m
0099100102,45.362671,-72.892443,2012-09-08,Deciduous,>22 m
0099100201,45.491962,-71.167274,2008-09-11,Deciduous,17-22 m
0099100202,45.49068,-71.161796,2008-09-11,Deciduous,17-22 m
0099100301,45.477105,-72.587921,2012-08-30,Deciduous,>22 m
0099100302,45.479687,-72.584477,2012-08-30,Deciduous,>22 m
0099100401,45.505591,-73.046521,2009-06-19,Deciduous,>22 m
0099100402,45.502454,-73.049783,2009-06-19,Deciduous,17-22 m
0099100501,45.500583,-73.059075000000007,2012-09-07,Deciduous,17-22 m
0099100502,45.496759,-73.059169,2012-09-07,Deciduous,>22 m
0099100601,45.732805,-72.276485,2009-08-17,Deciduous,>22 m
0099100602,45.736679,-72.276105,2009-08-17,Deciduous,12-17 m
0099100701,45.862019,-71.184681,2010-06-07,Deciduous,17-22 m
0099100702,45.858931,-71.187957,2010-06-06,Mixed,17-22 m
0099100801,46.056429,-71.883081,2009-11-18,Deciduous,>22 m
0099100802,46.058742,-71.886021,2009-11-18,Deciduous,17-22 m
0119600101,48.365302,-65.438179,2016-06-16,Coniferous,17-22 m
0119600102,48.363669,-65.432931,2016-06-16,Coniferous,17-22 m
0119600201,48.369735,-67.024989,2015-06-03,Coniferous,12-17 m
0119600202,48.373163,-67.022458,2015-06-03,Coniferous,12-17 m
0119600301,48.529007,-64.41546,2016-06-15,Coniferous,12-17 m
0119600302,48.526197,-64.412163,2016-06-14,Coniferous,12-17 m
0119600401,48.567676,-64.817436,2014-06-06,Coniferous,12-17 m
0119600402,48.564843,-64.820826,2014-06-06,Coniferous,12-17 m
0119600501,48.699068,-66.868422,2016-06-03,Coniferous,17-22 m
0119600502,48.700073,-66.862863,2016-06-03,Coniferous,17-22 m
0119600601,48.739643,-64.713242,2014-06-04,Mixed,7-12 m
0119600602,48.742759,-64.70935,2014-06-05,Coniferous,7-12 m
0119600801,48.788567,-66.643495,2016-06-01,Coniferous,12-17 m
0119600802,48.79132,-66.647956,2016-06-01,Coniferous,7-12 m
0119600901,48.805882,-66.074857,2016-06-19,Coniferous,7-12 m
0119600902,48.804513,-66.06949,2016-06-19,Coniferous,7-12 m
0119601001,48.983219,-66.225964,2016-06-17,Coniferous,12-17 m
0119601002,48.983888,-66.232426,2016-06-17,Coniferous,12-17 m
0119601101,48.98376,-66.532802,2016-06-18,Coniferous,12-17 m
0119601102,48.987746,-66.532548,2016-06-18,Coniferous,12-17 m
0119601201,49.024901,-66.630424,2016-06-01,Mixed,12-17 m
0119601202,49.025849,-66.635687,2016-06-01,Coniferous,12-17 m
0219600101,46.735603,-73.267033,2010-10-31,Mixed,17-22 m
0219600102,46.735758,-73.27275,2010-10-31,Mixed,17-22 m
0219600201,46.768144,-73.406411,2010-11-08,Mixed,17-22 m
0219600202,46.7717,-73.408932,2010-11-01,Mixed,17-22 m
0219600301,46.946487,-73.518378,2010-11-15,Mixed,17-22 m
0219600302,46.943123,-73.515382,2010-11-15,Coniferous,12-17 m
0219600401,48.087018,-72.424527,2007-07-17,Coniferous,7-12 m
0219600402,48.089772,-72.428537,2007-07-17,Coniferous,12-17 m
0219900101,47.316736,-71.096222,2012-06-26,Coniferous,12-17 m
0300400102,48.068069,-70.788676,2003-09-13,Mixed,12-17 m
0300600101,46.968146,-71.261939,2003-08-30,Mixed,12-17 m
0300600202,47.029176,-72.134839,2003-07-10,Mixed,17-22 m
0300600301,47.083346,-72.182622,2003-07-24,Deciduous,7-12 m
0300600302,47.085348,-72.187263,2003-07-25,Mixed,7-12 m
0300800102,48.586292,-66.287196,2003-10-11,Coniferous,7-12 m
0301000101,47.273999,-69.879153,2003-07-29,Deciduous,17-22 m
0301000201,47.321781,-69.37983,2003-09-29,Coniferous,12-17 m
0301100101,45.48288,-75.919096,2003-11-16,Deciduous,17-22 m
0301100102,45.48085,-75.923754,2003-11-16,Deciduous,17-22 m
0301200102,45.78065,-76.462681,2003-10-27,Mixed,12-17 m
0301200201,45.833037,-76.720986,2003-10-21,Deciduous,17-22 m
0301200302,45.882184,-76.43341,2003-10-24,Deciduous,4-7 m
0301200401,45.884063,-76.68432,2003-10-04,Coniferous,17-22 m
0301300102,46.571308,-75.757113,2003-08-21,Deciduous,17-22 m
0301400101,46.165159,-76.111225,2003-08-11,Deciduous,>22 m
0301400202,46.451547,-76.944068,2003-09-17,Coniferous,12-17 m
0301500102,46.721092,-77.882459,2003-10-08,Deciduous,17-22 m
0301700101,46.431298,-77.938287,2003-08-18,Mixed,17-22 m
0301700201,46.538438,-78.276149,2003-09-26,Deciduous,>22 m
0301700302,46.704076,-78.798928,2003-09-09,Mixed,>22 m
0301700402,46.731707,-78.594338,2003-08-31,Mixed,12-17 m
0301800101,46.934409,-78.591464,2003-09-02,Mixed,12-17 m
0301800202,46.954018,-78.279595,2003-09-20,Mixed,17-22 m
0301800301,46.984113,-78.417559,2003-09-05,Mixed,17-22 m
0301800302,46.985675,-78.412439,2003-09-05,Mixed,17-22 m
0301800401,47.255018,-78.068293,2003-08-08,Deciduous,17-22 m
0319600101,46.651959,-70.639689,2003-07-05,Coniferous,4-7 m
0502800101,47.827753,-78.971535,2005-07-10,Mixed,7-12 m
0502800102,47.829692,-78.966866,2005-07-10,Coniferous,12-17 m
0502800202,48.117217,-78.544129,2005-06-19,Coniferous,12-17 m
0502800301,47.681773,-78.390406,2005-07-08,Coniferous,12-17 m
0504700102,48.097151,-77.529791,2005-09-29,Mixed,12-17 m
0519800102,46.128986,-70.315873,2005-07-06,Mixed,12-17 m
0519800202,46.320318,-70.468142,2005-07-08,Mixed,12-17 m
0602400102,46.653696,-75.746703,2006-10-10,Deciduous,>22 m
0602400201,47.302526,-75.433041,2006-10-03,Deciduous,17-22 m
0602500101,46.431366,-75.244716,2006-09-20,Deciduous,>22 m
0602500102,46.432994,-75.239721,2006-09-20,Deciduous,>22 m
0602500202,46.398144,-75.557881,2006-06-27,Mixed,17-22 m
0602500302,46.286781,-75.463704,2006-09-22,Mixed,>22 m
0602500401,46.690557,-74.96278,2006-07-22,Deciduous,7-12 m
0602500501,46.552966,-74.881274,2006-09-01,Mixed,17-22 m
0602500601,46.579495,-75.041737,2006-07-24,Deciduous,17-22 m
0602500702,46.587308,-75.416076,2006-06-26,Deciduous,2-4 m
0602500802,46.667515,-74.943796,2006-08-31,Deciduous,17-22 m
0602500902,46.619106,-75.47899,2006-09-26,Mixed,17-22 m
0619702001,46.791187,-73.109846,2006-10-20,Deciduous,17-22 m
0619702002,46.790038,-73.105309,2006-10-21,Deciduous,17-22 m
0619803501,47.291163,-71.150619,2011-06-17,Coniferous,7-12 m
0700200102,48.170737,-71.013572,2007-07-04,Coniferous,12-17 m
0700200202,48.237139,-71.029827,2007-07-07,Mixed,4-7 m
0700200302,48.136896,-71.569285,2007-07-09,Mixed,2-4 m
0700200401,48.63238,-71.357464,2007-06-26,Deciduous,17-22 m
0700200501,47.884528,-72.649537,2007-08-22,Coniferous,7-12 m
0700200601,47.874025,-72.135203,2007-08-22,Coniferous,4-7 m
0700200701,47.491168,-72.536237,2007-07-17,Coniferous,12-17 m
0700200801,48.134455,-73.161237,2007-08-05,Mixed,7-12 m
0700200902,48.076507,-73.432946,2007-08-02,Coniferous,4-7 m
0700201101,48.087923,-71.573935,2007-07-09,Coniferous,4-7 m
0700201102,48.084685,-71.576821,2007-07-09,Coniferous,4-7 m
0700201201,48.403283,-71.571724,2007-07-11,Mixed,17-22 m
0700201302,47.887137,-72.90372,2007-08-01,Mixed,4-7 m
